Year,Age_Group,Male_Population,Female_Population,Total_Population_Age_Group
2022,Under 5,266209,254258,520467
2022,5-9,239116,230070,469186
2022,10-14,257842,244080,501922
2022,15-17,143489,137496,280985
2022,18-19,93098,93031,186129
2022,20,46646,48038,94684
2022,21,48443,50746,99189
2022,22-24,165275,178020,343295
2022,25-29,356701,379533,736234
2022,30-34,369971,374144,744115
2022,35-39,314480,314546,629026
2022,40-44,274288,289331,563619
2022,45-49,259117,273203,532320
2022,50-54,262409,278152,540561
2022,55-59,263124,282997,546121
2022,60-61,98347,112161,210508
2022,62-64,134656,153811,288467
2022,65-66,83544,98276,181820
2022,67-69,107772,131935,239707
2022,70-74,148107,193388,341495
2022,75-79,94936,137854,232790
2022,80-84,62343,103524,165867
2022,85+,58806,115154,173960
